Wall time,Step,Value
1535715412.7500117,0,0.8633999824523926
1535715418.8698044,1,0.9635999798774719
1535715424.9738731,2,0.9751600027084351
1535715430.952989,3,0.9800400137901306
1535715437.0395045,4,0.9820200204849243
1535715443.0911484,5,0.9832000136375427
1535715449.1598775,6,0.9852799773216248
1535715455.2066731,7,0.9869199991226196
1535715461.2231746,8,0.9870399832725525
1535715467.277834,9,0.9875199794769287
1535715473.3630056,10,0.9888799786567688
1535715479.4837031,11,0.9887800216674805
1535715485.590989,12,0.9884399771690369
1535715491.6225417,13,0.989300012588501
1535715497.6726418,14,0.9894599914550781
1535715503.749067,15,0.9897000193595886
1535715509.7964904,16,0.9894999861717224
1535715515.8207905,17,0.9896000027656555
1535715521.8843772,18,0.9899200201034546
1535715527.9032488,19,0.9898399710655212
